clinic_id,clinic_name
14,"DEBORAH S.WOOTEN,MD, LLC"
40,Boro Park OB/GYN
45,Meridian Medical Services
49,WomenCare
55,Valley Medical Group
74,Shrewsbury OB/GYN
90,East Greenwich Pediatrics
94,TSAOG
111,Bethel Family Medicine
130,"Beth Hardiman, MD"
166,"PediatriCare Associates, LLC"
187,LINWOOD MEDICAL ASSOCIATES
226,Columbus Regional (FPC/OPC)
233,Westfall Orthopedics
237,Providence Medical Group
240,Miami Associates in Pediatric Surg
251,Golden Practice 1
252,Gastroenterology Consultants of Laredo
256,"SOUTHWEST ORTHOPEDIC GROUP, L.L.P"
322,"Orthopaedic Associates, USA"
375,Sesslar Family Medical Center
398,"Stephen Murphy, M.D."
411,"KAREN SMITH, MD, PA"
413,Golden Practice 3
415,Wright State Physicians
416,CHS-CHS Easton Hospital
419,"Charles B. Cox, MD"
421,Texas Colon and Rectal Specialists
432,Aaron Athena Aardvark Gr.
438,Univ. Physicians of Brooklyn- (UPB)
440,"Hanjani, P.C."
442,Internal Medicine Care Inc.
448,Orthopaedic Center of Vero Beach
474,Womens Integrated Healthcare
475,Childrens Healthcare
478,Menchavez Pediatrics
482,"The Woman's Clinic, Inc."
483,"Peter E Masucci,  MD PC"
496,"HARTFORD CARDIAC LABORATORY, P.C."
519,Center for Sports Medicine and Orthopaedics
553,East TN Regional OB/GYN
554,Rehab Assocs of the Mainline
560,Albemarle Pediatrics
577,"William Paull, MD"
578,Boston Eye Care Consultants
590,TENNESSEE VALLEY PAIN MANAGEMENT
593,"HAROLD ALLEN FERGUSON, JR. DO"
599,"PRITI PATEL, MD"
603,Bellbrook Family Practice
615,Camelback Women's Health
626,"Saint Vincent Physician Services, Inc."
633,GYNPLUS
634,Athena Medical Center for Women
642,Soll Eye
672,Ridge Family Physicians
677,Agarwal Nephrology & Hypertension
678,Briarpatch Pediatrics
681,Boston O and P
718,"TRENTON ORTHOPAEDIC GROUP, P.A."
726,JORDAN & ASSOCIATES OB/GYN
729,"Adnan K. Elamine, MD"
732,"Sanjay Misra, MD"
734,Family Medicine Associates
749,Boston Bone and Joint Institute
768,Lawrence Family Doctors
777,Diamond Family Practice
796,Emerald Coast ENT
807,The Woman's Center for Advanced Pelvic Surgery
810,Doctors Buczek and Kobza
814,"Dr. Robert Cooper, Jr., MD"
829,"Dr M E Broadstone-Gaeke, LLC"
840,New Image Medical Aesthetics and Wellness
851,Dr. JB Winters
853,Laser and Corneal Surgery Assoc.
856,Cardiothoracic and Vascular Surgeons
859,Katy Pulmonary Associates
862,Pulaski Surgery Clinic
865,"Maria Dunton, DO"
881,DuPage Neurological Associates
887,"Prime Internal Medicine, PA"
892,Premier Medical Group
898,East Norriton Women's Health Care
903,"SANDER ORTHOPAEDICS AND SPORTS MEDICINE, P.A."
918,Brooklyn Heart
924,Northwest OB/GYN Associates
926,Eye One Surgical Associates
930,Christine A. Phillips MD
932,Grace Family Medical Practice
935,South Texas Spinal Clinic
940,"RAMASAMY SERALATHAN, MD"
951,Winston McIver
952,Forsyth Plastic Surgery Associates
954,Mt. Scott ENT & Sleep Medicine
956,"MOUNTAIN VIEW PEDIATRICS, P.A."
957,Texas Pain Consultants
958,Nashoba Valley Healthcare Group
960,Enixus Center for Integrative Medicine and Acupuncture
962,Southwest Regional Healthcare Group
967,One Health Primary Care
968,M.D. D.O.ASSOCIATES INC.
974,Amethyst Medical Group
991,Cope Eye Clinic
1018,Dayspring Family Care
1031,Ortho Surgery of the Foot And Ankle
1039,"GARDNER FAMILY MEDICINE, INC."
1040,COMMONWEALTH SPORTS MEDICINE
1045,Central Florida Spine Institute
1053,"Regional Healthcare Associates, LLC"
1057,Cy-Fair Headache and Neurological Clinic
1059,California Cardiovascular
1060,"Jerry Dixon, MD, PA"
1066,Sterling Ridge Orthopaedics & Sports Medicine
1079,Bach and Godofsky Infectious Diseases
1119,Pulmonary Medicine Associates
1123,Rosedale Health and Wellness
1132,Central Coast Urgent Care
1133,Golden Practice 2
1145,Northwest ENT & Allergy Care
1154,Orthopaedic Surgical Associates
1164,Heart and Vascular Care
1173,"Helen Mirau, MD, LLC"
1177,PIONEER VALLEY PEDIATRICS
1194,Dr. Issa Yusuf
1197,David MacGregor MD
1198,DBA TRAILSIDE HEALTH
1200,ESD Pediatric Group
1209,Greenwich Village Gastroenterology
1213,NORTH TEXAS HEART CENTER
1215,Moore Free Care Clinic
1216,JANIGIAN RETINA ASSOCIATES
1239,BMI Surgery
1245,Interventional Cardiac Consultants
1250,NorthStar Medical Specialists
1258,Beresh Pain Management
1272,Alta Orthopaedic Medical Group
1274,Valley Orthopedic Specialists
1319,"Park Sierra Medical Clinic, Inc"
1321,Miller Urogynecology
1322,James M. Robinson MD
1323,Griffin Faculty Physicians
1324,"Pediatric Gastroenterology, Hepatology and Nutrition, Dr Treskova"
1325,Sun Medical Corporation
1331,Surgical Associates of West Florida
1332,Alpine Surgical and Boulder Vein Center
1335,CHS Hill Regional Med Grp
1337,Florida Center for Orthopaedics
1343,Dallas Neuroscience
1344,Four Women Health Services
1345,"ASSOCIATES IN DERMATOLOGY, LLC"
1353,"Neurology and Neurodiagnostics of Alabama, LLC"
1355,"Foot Specialists of Memorial, P.A."
1366,Campbell Clinic
1367,Dayton Center for Neurological Disorders
1369,Lifetime Family Medicine
1376,OrthoArkansas
1385,"Vivian Family Medical, LLC"
1392,"AGATA OCZKO-DANGUILAN M.D,S.C."
1404,Tygart Valley Orthopedics and Sport
1407,"The Urology Group, P.C."
1409,Highlands Health for Life
1410,Gibson General Hospital Physician Practices
1414,Comprehensive Orthopaedics and Rehabilitation
1417,"Park Ridge Multi-Med, S.C."
1418,"Michael Tedford, MD"
1427,EDWARD CONDON MEDICAL
1429,"Annamarie Greco, MD, PLLC"
1432,"OZARK OB-GYN,LLC"
1433,Lansdowne Podiatry
1446,"Thomas A Bowhay, MD"
1450,Beacon Pediatrics
1453,OAA ORTHOPAEDIC SPECIALISTS
1458,"Island Renal Physicians, PC"
1459,CHS-Trinity Hospital of Augusta Clinic
1460,Martin General Hospital Clinic
1472,MORRISTOWN CLINIC CORP
1475,Merit Health Medical Group
1482,Family Practice Specialists
1487,Therapeutic Associates
1488,"Noel TD Chiu, M.D., amc"
1509,EMMANUEL MEDICAL CORP.
1516,South Carolina Sports Medicine and Orthopaedic Center
1518,Womanhealth
1520,"ARKANSAS OB/GYN ASSOCIATES, PLLC"
1522,Byrd Regional Hospital Clinic
1524,DYERSBURG CLINIC CORP
1527,Ramon A Gil
1528,Dr. Dale Yu
1546,The Whole Child Center
1547,CATHERINE F VANDERLOOS MD AMC
1548,"Carolina Surgical Oncology, PC"
1554,"Friedrich Boettner, MD"
1562,Mountain West Medical Group
1563,Blue Ridge Medical Group
1564,Payson Healthcare Management
1565,CHS Master Table
1567,"CHS Harris Medical Clinics, Inc"
1568,MCKENZIE CLINIC CORP
1571,CHS Emporia Clinic - Southern Virginia Regional
1572,Plateau Medical Group
1573,"CHS - Sunbury Clinic Company, LLC"
1574,CHS Marlboro Clinic Corp
1575,Western Arizona Medical Group
1577,Orlando Medical Group
1579,Coastal Family Healthcare
1582,Madison Clinic Corp
1588,Marion Providers
1590,Phillips Clinic Corp
1592,San Miguel Clinic
1599,Baldwin Health Medical Group
1602,Ruth Haskins M.D.
1605,Stabler Clinic
1607,Forrest City Clinic Company
1621,Wyoming Neurology
1624,Deanna L. Inlow DPM
1627,Live Oak Family Medicine
1630,NORTHSIDE PULMONARY & SLEEP MEDICINE
1662,Metabolic Center Louisiana
1663,Foothills Women's Medical Center
1680,"Garrett M Eckerling, MD"
1684,Gershon Pain Specialists
1686,Performance Orthopaedics & Sports Medicine
1687,Orlando Diagnostic Center
1693,NORTHERN CALIFORNIA SURGICAL GROUP
1698,ANESTHESIA & PAIN MEDICINE
1702,My Doctor
1705,"Neurology Diagnostics, Inc"
1721,TRI-COUNTY HEALTH RESOURCE CENTER
1725,Physical Medicine Consultants
1728,"GEORGE E. WOODMAN, MD"
1735,"Mark T Fahlen MD, INC"
1738,"LAURIE MCKILLIP, M.D., P.A."
1740,Teri L Hunter MD PLLC
1743,"Jacksonville Kids Pediatrics, PLLC"
1744,Paris Health Group
1749,Heartwise Cardiology
1751,Dr. James S. Dunn
1754,"Mid-Atlantic Family Medicine, LLC."
1756,All About Women - Garden City
1765,Bayview Gastroenterology Medical Co
1769,Associated Pediatric Partners
1772,"Ayer Dermatology, P.C."
1773,Field Health System Clinics
1775,"PTR Sports, A Medical Corporation"
1776,"Haseeb Al-Mufti MD, Inc"
1789,NE Texas Interventional Medicine
1792,Crabapple Family Medicine
1793,John F Mulqueen MD
1800,"Loudoun Rheumatology Center, PC"
1802,Southside Physicians Network
1804,McKenzie Physician Services
1807,Women's Comprehensive Health Center
1808,BLAIR S LEWIS MD
1809,"Paul A. Chang, MD"
1812,Dr. Dwayne Williams Office
1813,"MARK M.CASILLAS, M.D.,P.A."
1818,"Utah Arthritis Clinic, P.C."
1819,PACIFIC FAMILY MEDICAL GROUP
1823,Hudson Headwaters
1831,Gadsden Physician Clinics
1832,"BRASELTON PEDIATRICS, LLC"
1834,"SYED A. ALI MD, INC."
1838,"Susan L. Boullioun, MD"
1840,Newport Center Obgyn
1850,Stony Brook Primary Care
1851,Associates in Women's Health
1853,OrthoNow PLLC
1858,Kids Plus Pediatrics
1873,"MB Medical Group, LLC"
1878,CHS PPSI Mem Hos of Salem Co Clinic
1879,VANDERBILT PHYSICIAN SERVICES CLARKSVILLE
1880,"Tuluca Medical, PC"
1884,"Miami Hand, Bone, and Joint Institute"
1886,"William Bingham, MD"
1894,"Daniel J. Muppidi, MD"
1897,Internal Medicine PA
1905,Med First Primary and Urgent Care
1911,"American Medical Group, INC."
1914,Parkwood Pediatric Group
1920,"GENERAL VASCULAR SURGERY MEDICAL GROUP, INC"
1922,Platte River Medical Clinic
1941,"Emerald Coast Urgent Care, LLC"
1944,"Cecil William Lovell III, MD"
1946,BESTCARE OB/GYN
1948,"GLEN ROSE HEALTHCARE, INC."
1952,"HUDSON HEIGHTS PEDIATRICS, PC"
1954,Three Rivers Physicians
1955,"Partners for Healing, Inc"
1966,First Pediatric Care Center
1968,"JOHN A. EVANS, M.D."
1972,WILKES BARRE ACADEMIC MEDICINE LLC
1974,Hill Country Family Center
1975,Kennesaw Mountain Medical Group
1977,Princeton Lakes Pediatrics LLC
1978,Allstar Pediatrics
1980,"Josier M. Nisnisan MD, PLLC"
1984,"Leighton Ortho and Sports Med, PC"
1986,Advanced Gynecology Specialists
1996,"Advanced Care for Women, SC"
1999,Riser Medical Associates
2000,Edmonds and Lee Healthcare Partners
2003,"R.S. Krishnan, MD"
2012,Chesterfield - Marlboro
2014,"M. Hani Soliman MD, Inc."
2017,My Former Revere Medical Records
2018,ORTHOSOUTH
2020,TRINITY FAMILY MEDICINE LLC
2034,KEVEN TAGDIRI MD
2038,OHIO STATE PAIN MANAGEMENT CENTER
2041,"Tony S. McClung, MD"
2044,Harvey Bowles MD
2048,Previty Clinic
2058,Center For Women's Health
2062,A Woman's Perspective Healthcare
2065,Muskogee Medical and Surgical Associates
2070,TRI-CITY NEUROLOGY LLC
2076,Southern Indiana Family Practice Center
2083,Affinity Providers
2090,"Amelia Ng, MD, PA and Tam V Ho, MD,"
2093,CHS PF Kirksville Physical Therapy
2104,Performance Orthopaedic Surgery
2107,"Hansbrough, Peters, Traxler and Scallan"
2110,Kirkland Family Medical
2111,"Tuoc Dao, MD, PA"
2124,North Coast Ophthalmology
2126,Women's Specialists of Buck's County
2128,Brookhaven Clinic
2129,Coastal Sleep Lab
2130,Boerne Family Medicine
2132,"Valley Medical Center, PLLC"
2136,Briggs Family Medicine
2145,"Mountain Lakes Medical Center, LLC"
2147,"C. CHOW, MD and M. AZIZAD, MD"
2154,MYSTICAL ROSE OBSTETRICS AND GYNECOLOGY
2157,"Urological Physicians of San Diego,"
2159,DeCLaire LaMacchia Orthopaedic Institute
2165,Clearwater Surgical Associates
2167,"Daniel D. Schrader, MD"
2171,CONGRESSIONAL AMBULATORY SURGERY CENTER LLC
2180,PartnerMD
2184,Mesa View Medical Group
2186,Mary Black Physicians Group
2188,Berry Stewart Eye Center
2189,Twin Palm Orthopedics
2191,Dr. James Meyer
2197,Ohio ENT Associates
2203,DAVID KIEFF MD LLC
2204,"Young Hearts of Yuma, Inc"
2215,"Lisa A. Perryman MD, PC"
2218,CHS South Arkansas Phys Srvcs
2220,Northwest Lifestyle Medicine
2226,Dr. Steve Chang
2227,"Mesina Pediatrics, LLC"
2230,CHS-Abilene Clinic
2232,"Dermatology and Skin Care Associates, LLC"
2235,SALMA MAZHAR M.D. P.A.
2238,"RICHARD R. ONDRIZEK, M.D., P.A."
2241,Dr. Hamid Mir
2243,"Andrew J. Hutchinson, DO, PA"
2250,Zoe Ann Weinstein
2255,Carolina Coastal Plastic Surgery
2256,Sleep Health MD
2262,Generations Medical Center
2264,Southside Pain Specialists
2272,"Thomas P Melancon, MD LLC"
2274,"Jesse C. DeLee, M.D."
2276,Greenbrier Providers
2278,CHS PPSI Ruston Clinic Company
2280,"A to Z Pediatrics, PLLC"
2284,The Brenham Clinic
2289,AllianceHealth Medical Group
2305,DiToppa Medical Center
2306,"Dallas Internal Medicine Associates, P.A."
2309,ENT Specialists
2316,The Foot & Ankle Institute of San Francisco
2322,Carine Pediatrics
2325,"DAVID J CORALLO, D.O."
2326,"Solanki Cardiology, LLC"
2329,Mission Gastroenterology
